id,surface,file,line,component,element,label,disabled,handler,coverage
"UI001","desktop","src/renderer/src/AgentProposalCard.tsx","25","AgentProposalCard","input","Name","","onChange: {(e) => setDraft({ ...draft, name: e.target.value })}","Source control site; consult the journey register and release verification scope"
"UI002","desktop","src/renderer/src/AgentProposalCard.tsx","26","AgentProposalCard","textarea","Description","","onChange: {(e) => setDraft({ ...draft, description: e.target.value })}","Source control site; consult the journey register and release verification scope"
"UI003","desktop","src/renderer/src/AgentProposalCard.tsx","27","AgentProposalCard","textarea","Instructions","","onChange: {(e) => setDraft({ ...draft, developerInstructions: e.target.value })}","Source control site; consult the journey register and release verification scope"
"UI004","desktop","src/renderer/src/AgentProposalCard.tsx","28","AgentProposalCard","select","","","onChange: {(e) => setDraft({ ...draft, scope: e.target.value as ""personal"" | ""project"" })}","Source control site; consult the journey register and release verification scope"
"UI005","desktop","src/renderer/src/AgentProposalCard.tsx","29","AgentProposalCard","summary","Role instructions","","","Source control site; consult the journey register and release verification scope"
"UI006","desktop","src/renderer/src/AgentProposalCard.tsx","32","AgentProposalCard","button","{editing ? ""Review role"" : ""Edit role""}","{Boolean(busy)}","onClick: {() => setEditing(!editing)}","Source control site; consult the journey register and release verification scope"
"UI007","desktop","src/renderer/src/AgentProposalCard.tsx","33","AgentProposalCard","button","""Dismiss role proposal""","{Boolean(busy)}","onClick: {() => void resolve(""dismiss"")}","Source control site; consult the journey register and release verification scope"
"UI008","desktop","src/renderer/src/AgentProposalCard.tsx","34","AgentProposalCard","button","{busy === ""save"" ? ""Saving…"" : ""Save for reuse""}","{Boolean(busy)}","onClick: {() => void resolve(""save"")}","Source control site; consult the journey register and release verification scope"
"UI009","desktop","src/renderer/src/AgentProposalCard.tsx","35","AgentProposalCard","button","{busy === ""use"" ? ""Selecting…"" : ""Use once""}","{Boolean(busy)}","onClick: {() => void resolve(""use"")}","Source control site; consult the journey register and release verification scope"
"UI010","desktop","src/renderer/src/App.tsx","305","MarkdownMessage","a","{children}","","","Source control site; consult the journey register and release verification scope"
"UI011","desktop","src/renderer/src/App.tsx","318","DraftImagePreview","button","{`Preview ${image.name}`}","","onClick: {() => setExpanded(true)}","Source control site; consult the journey register and release verification scope"
"UI012","desktop","src/renderer/src/App.tsx","320","DraftImagePreview","button","{`Remove ${image.name}`}","","onClick: {onRemove}","Source control site; consult the journey register and release verification scope"
"UI013","desktop","src/renderer/src/App.tsx","321","DraftImagePreview","div","{image.name}","","onClick: {() => setExpanded(false)}","Source control site; consult the journey register and release verification scope"
"UI014","desktop","src/renderer/src/App.tsx","322","DraftImagePreview","button","""Close image""","","","Source control site; consult the journey register and release verification scope"
"UI015","desktop","src/renderer/src/App.tsx","323","DraftImagePreview","img","","","onClick: {e => e.stopPropagation()}","Source control site; consult the journey register and release verification scope"
"UI016","desktop","src/renderer/src/App.tsx","368","StoredImage","button","{source ? `Open ${attachment.name}` : attachment.name}","{!source && !error}","onClick: {() => { if (error) setError(false); else setExpanded(true); }}","Source control site; consult the journey register and release verification scope"
"UI017","desktop","src/renderer/src/App.tsx","380","StoredImage","div","{attachment.name}","","onClick: {() => setExpanded(false)}","Source control site; consult the journey register and release verification scope"
"UI018","desktop","src/renderer/src/App.tsx","381","StoredImage","button","""Close image""","","","Source control site; consult the journey register and release verification scope"
"UI019","desktop","src/renderer/src/App.tsx","382","StoredImage","img","","","onClick: {(event) => event.stopPropagation()}","Source control site; consult the journey register and release verification scope"
