id,surface,file,line,component,element,label,disabled,handler,coverage
"C001","desktop","src/renderer/src/App.tsx","298","MarkdownMessage","a","{children}","","","Source inventory; runtime coverage varies by journey"
"C002","desktop","src/renderer/src/App.tsx","352","StoredImage","button","{source ? `Open ${attachment.name}` : attachment.name}","{!source}","onClick: {() => setExpanded(true)}","Source inventory; runtime coverage varies by journey"
"C003","desktop","src/renderer/src/App.tsx","364","StoredImage","div","{attachment.name}","","onClick: {() => setExpanded(false)}","Source inventory; runtime coverage varies by journey"
"C004","desktop","src/renderer/src/App.tsx","365","StoredImage","button","""Close image""","","","Source inventory; runtime coverage varies by journey"
"C005","desktop","src/renderer/src/App.tsx","366","StoredImage","img","(dynamic or inherited)","","onClick: {(event) => event.stopPropagation()}","Source inventory; runtime coverage varies by journey"
"C006","desktop","src/renderer/src/App.tsx","406","MessageActions","button","""Copy message""","","onClick: {() => void copyMessage()}","Source inventory; runtime coverage varies by journey"
"C007","desktop","src/renderer/src/App.tsx","407","MessageActions","button","""Quote in a follow-up""","","onClick: {quoteMessage}","Source inventory; runtime coverage varies by journey"
"C008","desktop","src/renderer/src/App.tsx","505","ActivityPanel","button","{expanded ? ""Hide agent actions"" : ""Show agent actions""}","","onClick: {() => setExpanded((value) => !value)}","Source inventory; runtime coverage varies by journey"
"C009","desktop","src/renderer/src/App.tsx","518","ActivityPanel","summary","{activityIcon(activity)} {activity.label}{activity.count > 1 && ×{activity.count} } {activityStatusLabel(activity)} {timeLabel(activity.createdAt)} {activity.de","","","Source inventory; runtime coverage varies by journey"
"C010","desktop","src/renderer/src/App.tsx","559","MessageList","button","window.dispatchEvent(new CustomEvent(""grokky:starter"", { detail: starter.prompt }))}> {starter.title}","","onClick: {() => window.dispatchEvent(new CustomEvent(""grokky:starter"", { detail: starter.prompt }))}","Source inventory; runtime coverage varies by journey"
"C011","desktop","src/renderer/src/App.tsx","638","ArchivedComputerHistory","button","{`Watch archived computer for ${computer.agentName}`}","","onClick: {() => onWatchComputer(computer.id)}","Source inventory; runtime coverage varies by journey"
"C012","desktop","src/renderer/src/App.tsx","733","CrewRunPanel","button","setExpanded((value) => !value)}> {avatarRuns.map((run) => )} {header.title} {header.detail} {elapsed}","","onClick: {() => setExpanded((value) => !value)}","Source inventory; runtime coverage varies by journey"
"C013","desktop","src/renderer/src/App.tsx","741","CrewRunPanel","button","void window.grokky.cancelRun(conversation.id)}> Stop","","onClick: {() => void window.grokky.cancelRun(conversation.id)}","Source inventory; runtime coverage varies by journey"
"C014","desktop","src/renderer/src/App.tsx","746","CrewRunPanel","button","selectTab(""overview"")} onKeyDown={(event) => moveTab(event, ""overview"")} > Overview","","onClick: {() => selectTab(""overview"")}; onKeyDown: {(event) => moveTab(event, ""overview"")}","Source inventory; runtime coverage varies by journey"
"C015","desktop","src/renderer/src/App.tsx","759","CrewRunPanel","button","selectTab(""tasks"")} onKeyDown={(event) => moveTab(event, ""tasks"")} > Tasks {tasks.length}","","onClick: {() => selectTab(""tasks"")}; onKeyDown: {(event) => moveTab(event, ""tasks"")}","Source inventory; runtime coverage varies by journey"
"C016","desktop","src/renderer/src/App.tsx","772","CrewRunPanel","button","selectTab(""meeting"")} onKeyDown={(event) => moveTab(event, ""meeting"")} > Meeting {meetings.length}","","onClick: {() => selectTab(""meeting"")}; onKeyDown: {(event) => moveTab(event, ""meeting"")}","Source inventory; runtime coverage varies by journey"
"C017","desktop","src/renderer/src/App.tsx","785","CrewRunPanel","button","selectTab(""messages"")} onKeyDown={(event) => moveTab(event, ""messages"")} > Messages {communications.length}","","onClick: {() => selectTab(""messages"")}; onKeyDown: {(event) => moveTab(event, ""messages"")}","Source inventory; runtime coverage varies by journey"
"C018","desktop","src/renderer/src/App.tsx","935","CrewTaskBoard","summary","Detected checks · {task.acceptanceCriteria.length}","","","Source inventory; runtime coverage varies by journey"
"C019","desktop","src/renderer/src/App.tsx","937","CrewTaskBoard","summary","{task.status === ""failed"" ? ""Failure detail"" : task.status === ""stopped"" ? ""Interruption detail"" : task.status === ""blocked"" ? ""Blocker detail"" : ""Reported evid","","","Source inventory; runtime coverage varies by journey"
"C020","desktop","src/renderer/src/App.tsx","969","CrewMeetingRoom","button","setSelectedMeetingId(candidate.id)}>Meeting {index + 1}","","onClick: {() => setSelectedMeetingId(candidate.id)}","Source inventory; runtime coverage varies by journey"
"C021","desktop","src/renderer/src/App.tsx","1035","CrewRunRow","summary","{content}","","","Source inventory; runtime coverage varies by journey"
"C022","desktop","src/renderer/src/App.tsx","1037","CrewRunRow","button","{`Watch ${run.name}'s computer`}","","onClick: {() => onWatchComputer(computer.id)}","Source inventory; runtime coverage varies by journey"
"C023","desktop","src/renderer/src/App.tsx","1100","CrewPicker","button","setOpen((value) => !value)}> {selected.length ? `Crew ${selected.length}` : ""Solo""}","{conversation.status === ""running""}","onClick: {() => setOpen((value) => !value)}","Source inventory; runtime coverage varies by journey"
"C024","desktop","src/renderer/src/App.tsx","1113","CrewPicker","button","void toggle(agent)}> {agent.name} {agent.description} {checked ? : }","{!enabled}","onClick: {() => void toggle(agent)}","Source inventory; runtime coverage varies by journey"
"C025","desktop","src/renderer/src/App.tsx","1121","CrewPicker","button","{ setOpen(false); onOpenAgents(); }}> Create or edit agents","","onClick: {() => { setOpen(false); onOpenAgents(); }}","Source inventory; runtime coverage varies by journey"
"C026","desktop","src/renderer/src/App.tsx","1207","ProjectPicker","button","setOpen((value) => !value)}> {conversation.projectMode === ""project"" ? projectName(conversation.workingDirectory) : ""Choose project""}","{conversation.status === ""running""}","onClick: {() => setOpen((value) => !value)}","Source inventory; runtime coverage varies by journey"
"C027","desktop","src/renderer/src/App.tsx","1214","ProjectPicker","input","""Search projects""","","onChange: {(event) => setSearch(event.target.value)}","Source inventory; runtime coverage varies by journey"
"C028","desktop","src/renderer/src/App.tsx","1219","ProjectPicker","button","{pathname}","","onClick: {() => void selectProject(pathname)}","Source inventory; runtime coverage varies by journey"
"C029","desktop","src/renderer/src/App.tsx","1227","ProjectPicker","button","void chooseProject()}> Choose or create project","","onClick: {() => void chooseProject()}","Source inventory; runtime coverage varies by journey"
"C030","desktop","src/renderer/src/App.tsx","1228","ProjectPicker","button","void clearProject()}> Don't work in a project","","onClick: {() => void clearProject()}","Source inventory; runtime coverage varies by journey"
"C031","desktop","src/renderer/src/App.tsx","1275","AccessPicker","button","setOpen((current) => !current)}> {choices.find((choice) => choice.id === value)?.label}","{conversation.status === ""running""}","onClick: {() => setOpen((current) => !current)}","Source inventory; runtime coverage varies by journey"
"C032","desktop","src/renderer/src/App.tsx","1281","AccessPicker","button","void select(choice.id)}> {choice.label} {choice.detail} {choice.id === value && }","","onClick: {() => void select(choice.id)}","Source inventory; runtime coverage varies by journey"
"C033","desktop","src/renderer/src/App.tsx","1462","Composer","div","{ if (event.dataTransfer.types.includes(""Files"")) setDraggingImages(true); }} onDragOver={(event) => { if (event.dataTransfer.types.includes(""Files"")) event.pre","","onDragEnter: {(event) => { if (event.dataTransfer.types.includes(""Files"")) setDraggingImages(true); }}; onDragOver: {(event) => { if (event.dataTransfer.types.includes(""Files"")) event.preventDefault(); }}; onDragLeave: {(event) => { if (!event.currentTarget.contains(event.relatedTarget as Node | null)) setDraggingImages(false); }}; onDrop: {handleDrop}","Source inventory; runtime coverage varies by journey"
"C034","desktop","src/renderer/src/App.tsx","1496","Composer","button","{`Remove ${image.name}`}","","onClick: {() => removeDraftImage(image.id)}","Source inventory; runtime coverage varies by journey"
"C035","desktop","src/renderer/src/App.tsx","1501","Composer","input","(dynamic or inherited)","","onChange: {(event) => { addImageFiles(Array.from(event.target.files ?? [])); event.target.value = """"; }}","Source inventory; runtime coverage varies by journey"
